",",IMAGE,,BOX NO,SKU,,NOT SHOW,,link,COLOR,ok,AZMEER STATUS CHECK,Cetagory,live status, ,SELL PRICE,HUZIAF AUDIT,PRICE,TOTAL INSTOCK,1016,IN STOCK,COST,SHIPPING CHINA,TOTAL INR,FREIGHT,T.COST,SELL PRICE,TOTAL COST,2026798.78
,,,32,3414575-Gray-40,Done ,DN,ok,FIX,gray,40,ok,loafers,Yes ,ok,2918,20886-21148-21161-21189-21930-21957-22396-22467-23548-23898-23906-24480-26742,,,Damage SOLD OUT,,60,8,884,1200,2084,2918,,
,,,33,SK0951US-blue-44,Done ,DN,ok,LIVE,blue,44,not showing,semi formal,Yes ,ok,3373,26932,,,In Stock,,85,8,1209,954,2163,3028,,
,,,34,3414251,Done ,DN,ok,FIX,red,39,ok,Formal,Yes ,ok,3282,,,,Damage SOLD OUT,,80,8,1144,1200,2344,3282,,
,,,35,TNV09876-black-40,Done ,DN,ok,FIX,black,40,not showing,Formal,Yes ,ok,3464,,,,Damage SOLD OUT,,90,8,1274,1200,2474,3464,,
,,,36,3414338-BLACK-43,,,,LIVE,black,43,,semi formal,Yes ,ok,3282,20186-20579-20775-21025-21176-21182-21588-21708-21864-21866-21946-22486-22903-23796-23891-24076-24752-25301-25526,,G MISSING OUT,Sold Out,,80,8,1144,1200,2344,3282,,
,,,37,RR-679-black-40,Done ,DN,ok,FIX,black,40,ok,semi formal,,ok,3282,,,,Damage SOLD OUT,,80,8,1144,1200,2344,3282,,
,,,38,sh297-blue-41,Done ,DN,ok,LIVE,blue,44,ok,loafers,DONE,ok,2845,13111-15940-16784-18946-19134-19187-19360-19724-20978-21649-24235,,,Damage SOLD OUT,,56,8,832,1200,2032,2845,,
,,,39,SK0952US-black-43,Done ,DN,ok,FIX,black,43,ok,Formal,Yes,ok,3282,,4500,,Damage SOLD OUT,,80,8,1144,1200,2344,3282,,
,DAMAGE,,40,,,,Damage ,WRONG IMAGE ZIP WALA HY,black,42,,Semi formal,,damage,3464,,,,Sold Out,,90,8,9,1200,1209,1693,,
,,,41,SG6376,Done ,DN,ok,FIX,brown,44,ok,Semi formal,Yes ,ok,3373,24811,,,In Stock,,85,8,1209,1200,2409,3373,,
,,,42,3414373,Done ,DN,ok,FIX,black,38,ok,Semi formal,Yes ,ok,3373,,4050,,Damage SOLD OUT,,85,8,1209,1200,2409,3373,,
,,ok,43,GX-08black-40,Done ,DN,ok,FIX,black,40,ok,loafers,Yes ,ok,2645,20902-21441-21723-21764-21815-21882-22198-22221-22445-22554-22583-22746-22830-22946-23059-23324-23385-23410-23882-24293-24452-24478-24621-24691-24819-25253-25786-25815-25842,,,In Stock,,45,8,689,1200,1889,2645,,
,,,44,3414333-Black-42,Done ,DN,ok,FIX,black,42,ok,Formal,Yes ,ok,3191,23799-24103-24160-24532,,,In Stock,,75,8,1079,1200,2279,3191,,
,,,45,4091859-Red-42,Done ,DN,ok,FIX,red,42,ok,Formal,Yes ,ok,3373,24074,3600,,Sold Out,,85,8,1209,1200,2409,3373,,
,,,46,GX30,,,,,brown,45,,Formal,Yes ,ok,,22158-23794-26767,,,Sold Out,,,,,,,,,
,,,47,SG6881,Done ,DN,ok,FIX,black,43,ok,Formal,Yes ,ok,3282,,,,Damage SOLD OUT,,80,8,1144,1200,2344,3282,,
,,ok,48,WG24US-black -40,Done ,DN,ok,,black,40,ok,Semi slipper,,ok,,,,,In Stock,,76,8,1092,1200,2292,,,
,,,49,WFG-20222-yellow-42,Done ,DN,ok,FIX,yellow,42,showing sold out,Semi slipper,Yes ,ok,3373,25098,,,In Stock, ,85,8,1209,1200,2409,3373,,
,,,50,3414575-blue-41,Done ,DN,ok,FIX,Blue ,41,ok,loafers,Yes ,ok,2918,20770-20886-21661-21889-21602-21930-21957-22396-22910-23548-23898-23906-24480-26742,,,Damage SOLD OUT,,60,8,884,1200,2084,2918,,
,,,51,SG939,Done ,DN,ok,LIVE,black,42,ok,Formal,Yes ,ok,3373,24964-25691-25980,,,In Stock,,85,8,1209,1200,2409,3373,,
,,,52,SG2230,Done ,DN,ok,FIX,black,42,not showing ,Semi formal,Yes ,ok,3282,24664-24722-25638,,,Damage SOLD OUT,,80,8,1144,1200,2344,3282,,
,,,53,LS-001-Burgundy-43,Done ,DN,ok,FIX,burgundy ,43,ok,Semi formal,Yes ,ok,2372,,,leather,In Stock,,30,8,494,1200,1694,2372,,
,,,54,LS-002,Done ,DN,ok,FIX,black-blue,41,ok,formal,Yes ,ok,2372,,,leather,Damage SOLD OUT,,30,8,494,1200,1694,2372,,
,,ok,55,HSL-001-black-41,Done ,DN,ok,HSL-001-black-41,black,41,ok,formal,,ok,2372,,,leather,In Stock,,30,8,494,1200,1694,2372,,
,,ok,56,B32-black 45,Done ,DN,ok,LIVE,black,45,ok,Sandel,Yes ,ok,3009,25218-25630-25632-25636,,,In Stock,,65,8,949,1200,2149,3009,,
,,ok,57,SG7110,Done ,DN,ok,FIX,black,41,ok,Semi formal,Yes ,ok,3282,,,,In Stock,,80,8,1144,1200,2344,3282,,
,,,58,6158198-Khaki-39,Done ,DN,ok,LIVE,khaki,39,ok,loafers,Yes ,ok,2827,,,,Damage SOLD OUT,,55,8,819,1200,2019,2827,,
,,ok,59,LS-012-Brown-42,Done ,DN,ok,,brown,42,ok,Semi formal,,ok,2372,,,leather,In Stock,,30,8,494,1200,1694,2372,,
,,,60,tnv73-black-43,Done ,DN,ok,FIX,black,43,ok,Semi formal,Yes ,ok,3555,21336-22073,,,Damage SOLD OUT,,95,8,1339,1200,2539,3555,,
,,,61,3414373,Done ,DN,ok,FIX,beige,42,,Semi formal,Yes ,ok,3373,,4050,,Sold Out,,85,8,1209,1200,2409,3373,,
,,,62,SK0954US-Black-42,Done ,DN,ok,FIX,black,42,ok,Sneaker,Yes ,ok,3045,,,,Damage SOLD OUT,,67,8,975,1200,2175,3045,,
,,,63,tnvi314-Gray-41,Done ,DN,ok,FIX,gold,41,ok,Semi formal,Yes ,ok,3373,,2999,,Damage SOLD OUT,,85,8,1209,1200,2409,3373,,
,,,64,tnv129,Done ,DN,ok,LIVE,black,44,ok,Semi slipper,Yes ,ok,3009,21993,,,In Stock,,65,8,949,1200,2149,3009,,
,,ok,65,SK0958US-WJZ-508 black-44,Done ,DN,ok,FIX,black,44,ok,Semi formal,Yes ,ok,3373,,,,In Stock,,85,8,1209,1200,2409,3373,,
,,,66,OCC01-gray-39,Done ,DN,ok,FIX,gray,39,ok,Semi formal,,ok,3282,,,,Damage SOLD OUT,,80,8,1144,1200,2344,3282,,
,,,67,LS-001-Burgundy-42,Done ,DN,ok,FIX,burgundy ,42,ok,Semi formal,Yes ,ok,2372,,,leather,In Stock,,30,8,494,1200,1694,2372,,
,,,68,JNL-0021-Brown-43,Done ,DN,ok,ok,Brown,43,ok,formal,,ok,2372,,,leather,Damage SOLD OUT,,30,8,494,1200,1694,2372,,
,,,69,LS-002,Done ,DN,ok,FIX,black-blue,41,ok,formal,Yes ,ok,2372,,,leather,Damage SOLD OUT,,30,8,494,1200,1694,2372,,
,,ok,70,SK0723US-7926-black-43,Done ,DN,ok,,black,43,ok,Semi formal,,ok,,,,,In Stock,,80,8,1144,1200,2344,3282,,
,,,71,SG6238-Gray-42,,,ok,FIX,gray,42,ok,Semi formal,Yes ,ok,3464,,,,In Stock,,90,8,1274,1200,2474,3464,,
,,,72,4091859-black-41,Done ,DN,ok,FIX,black,41,ok,formal,Yes ,ok,,24074,,,Sold Out,,85,8,1209,1200,2409,3373,,
,,,73,HSL-001-black-40,,No ,,,black,40,,formal,,ok,2372,,,G MISSING OUT,Sold Out,MISSING,30,8,494,1200,1694,2372,,
,,,74,SG6380,,No ,,FIX,black,42,,Semi formal,Yes ,ok,,24580-24777-24811-25014,,,Sold Out,,,,,,,,,
,,,75,3414404-red-42,DAMAGE,DN,ok,FIX,red,42,ok,formal,Yes ,ok,3282,,,DAMAGE,In Stock,,80,8,1144,1200,2344,3282,,
,,,76,JNL-001-BROWN-40,Done ,DN,ok,,brown,40,ok,formal,,OK,2372,,,leather,Damage SOLD OUT,,30,8,494,1200,1694,2372,,
,,,77,JNL-0021-Brown-41,Done ,DN,ok,ok,brown,41,ok,formal,,ok,2372,,,leather,Sold Out,,30,8,494,1200,1694,2372,,
